"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"","81503","0","0","0","0","0",,"",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3740","0",,"False",,,"0",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"81503",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,,"0","","True","",,,,,
"","1","0","0","0","0","0","/sbin/launchd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2628","0",,"False",,,"1",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (launchd)","0","","True","",,,,,
"","516","0","0","0","0","0","/usr/libexec/logd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4048","0",,"False",,,"516",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"516",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (logd)","0","","True","",,,,,
"","518","0","0","0","0","0","/usr/libexec/UserEventAgent","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3024","0",,"False",,,"518",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"518",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (UserEventAgent)","0","","True","",,,,,
"","520","0","0","0","0","0","/System/Library/PrivateFrameworks/Uninstall.framework/Versions/A/Resources/uninstalld","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2692","0",,"False",,,"520",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"520",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (uninstalld)","0","","True","",,,,,
"","521","0","0","0","0","0","/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3700","0",,"False",,,"521",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"521",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (fseventsd)","0","","True","",,,,,
"","522","0","0","0","0","0","/System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3636","0",,"False",,,"522",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"522",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (mediaremoted)","0","","True","",,,,,
"","525","0","0","0","0","0","/usr/sbin/systemstats","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3612","0",,"False",,,"525",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"525",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (systemstats)","0","","True","",,,,,
"","528","0","0","0","0","0","/usr/libexec/configd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3124","0",,"False",,,"528",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"528",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (configd)","0","","True","",,,,,
"","530","0","0","0","0","0","/System/Library/CoreServices/powerd.bundle/powerd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2944","0",,"False",,,"530",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"530",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (powerd)","0","","True","",,,,,
